x,y,yaw,v
133.4035,1370.3597,1.5201,19.7666
133.4663,1371.6260,1.5200,19.7365
133.5294,1372.8831,1.5200,19.7065
133.5928,1374.1356,1.5199,19.6769
133.6586,1375.4237,1.5199,19.6372
133.7231,1376.6798,1.5199,19.6076
133.7903,1377.9886,1.5198,19.5775
133.8522,1379.1953,1.5198,19.5478
133.9174,1380.4788,1.5214,19.5036
133.9831,1381.7642,1.5342,19.4639
134.0373,1382.9773,1.5525,19.4208
134.0719,1384.1873,1.5632,19.3842
134.0858,1385.4186,1.5656,19.3531
134.0916,1386.6995,1.5658,19.3126
134.0956,1387.9778,1.5658,19.2818
134.0995,1389.1285,1.5657,19.2507
134.1049,1390.3672,1.5656,19.2194
134.1112,1391.6057,1.5656,19.1879
134.1181,1392.8743,1.5657,19.1455
134.1247,1394.0618,1.5657,19.1136
134.1312,1395.3033,1.5657,19.0817
134.1374,1396.5334,1.5657,19.0496
134.1432,1397.7278,1.5656,19.1556
134.1493,1398.9744,1.5657,19.4005
134.1553,1400.2078,1.5658,19.5904
134.1614,1401.4712,1.5659,19.7837
134.1677,1402.7682,1.5659,19.9790
134.1739,1404.0541,1.5659,20.2446
134.1802,1405.3544,1.5659,20.4419
134.1868,1406.6774,1.5660,20.6340
134.1933,1408.0181,1.5660,20.6802
134.1998,1409.3490,1.5660,20.6470
134.2059,1410.6215,1.5660,20.6138
134.2121,1411.9406,1.5660,20.5707
134.2184,1413.2539,1.5660,20.5387
134.2247,1414.6145,1.5659,20.5075
134.2307,1415.8862,1.5660,20.4763
134.2369,1417.1862,1.5660,20.4453
134.2432,1418.5278,1.5660,20.4042
134.2494,1419.8352,1.5660,20.3734
134.2557,1421.1570,1.5660,20.3424
134.2619,1422.4867,1.5659,20.3113
134.2678,1423.7531,1.5660,20.5438
134.2740,1425.0735,1.5661,20.7243
134.2800,1426.4053,1.5661,20.9139
134.2860,1427.8379,1.5661,21.1038
134.2933,1429.1615,1.5663,21.3460
134.2989,1430.5111,1.5665,21.5372
134.3073,1431.9060,1.5665,21.7352
134.3136,1433.3407,1.5666,21.9323
134.3188,1434.6963,1.5665,22.1392
134.3262,1436.6661,1.5666,22.4580
134.3320,1438.1230,1.5667,22.6505
134.3380,1439.6034,1.5669,22.8429
134.3440,1441.0831,1.5670,23.0330
134.3500,1442.5944,1.5670,23.2220
134.3556,1444.0681,1.5669,23.1878
134.3615,1445.5457,1.5669,23.1535
134.3677,1447.0623,1.5669,23.1193
134.3738,1448.5635,1.5669,23.0745
134.3799,1450.0538,1.5669,23.0412
134.3859,1451.5288,1.5668,23.0077
134.3919,1453.0060,1.5668,22.9743
134.3975,1454.4655,1.5667,22.9407
134.4043,1455.9337,1.5666,22.8943
134.4108,1457.4307,1.5668,22.8586
134.4172,1458.9092,1.5671,22.8230
134.4221,1460.3848,1.5671,22.7886
134.4268,1461.8522,1.5671,22.7449
134.4315,1463.3126,1.5671,22.7122
134.4363,1464.7480,1.5670,22.6801
134.4415,1466.2234,1.5671,22.7897
134.4470,1467.7147,1.5672,22.9815
134.4525,1469.1852,1.5673,23.2317
134.4581,1470.7006,1.5674,23.2770
134.4636,1472.2024,1.5674,23.2437
134.4692,1473.7651,1.5674,23.2089
134.4743,1475.2256,1.5674,23.1635
134.4794,1476.7047,1.5674,23.1300
134.4845,1478.1837,1.5673,23.0965
134.4897,1479.6895,1.5673,23.0631
134.4948,1481.1836,1.5674,23.0297
134.5000,1482.7021,1.5674,22.9853
134.5048,1484.1434,1.5674,22.9521
134.5098,1485.6440,1.5674,22.9190
134.5151,1487.1084,1.5666,22.8855
134.5202,1488.5908,1.5590,22.8353
134.5326,1490.0688,1.5542,22.8000
134.5549,1491.5486,1.5535,22.7674
134.5802,1493.0024,1.5534,22.7352
134.6074,1494.5094,1.5534,22.6924
134.6336,1495.9590,1.5534,22.6603
134.6593,1497.4127,1.5534,22.6283
134.6855,1498.9143,1.5534,22.5963
134.7109,1500.3871,1.5534,22.5534
134.7355,1501.8101,1.5534,22.5208
134.7616,1503.3164,1.5534,22.4884
134.7861,1504.7294,1.5534,22.4562
134.8114,1506.1946,1.5534,22.4131
134.8367,1507.6552,1.5534,22.3753
134.8615,1509.0787,1.5534,22.3399
134.8867,1510.5262,1.5534,22.3085
134.9113,1511.9397,1.5534,22.2767
134.9370,1513.4133,1.5534,22.2342
134.9614,1514.8135,1.5533,22.2023
134.9865,1516.2544,1.5532,22.1707
135.0121,1517.7119,1.5531,22.1391
135.0408,1519.3422,1.5532,22.0969
135.0603,1520.4501,1.5532,22.0652
135.0853,1521.8728,1.5532,22.0334
135.1107,1523.3246,1.5532,22.0016
135.1350,1524.7107,1.5532,21.9698
135.1594,1526.0985,1.5532,21.9380
135.1846,1527.5269,1.5532,21.8954
